Location,Locality,Property ID,Plot Size,Property Differentiator,Valuation Date,Valuation Method,Valuation
Mahalapye,flowertown,2146/1195,843,"1 bathroom,carport,no garage,s/quarter",38495,DRC,165000.00 
Metsimotlhabe,0,2230/1775,900,double garage,38650,DRC,440000.00 
Metsimotlhabe,0,2183/1257,952,"no garage, 2 bathrooms,s/quarter",41449,DRC,900000.00 
Metsimotlhabe,Gaphatshwa ward,2183/296,1145,"3*2 bedroomed  units, s/squarter",41351,DRC,650000.00 
mmopane,0,2226/1093,900,,38661,DRC,120000.00 
mmopane,0,2226/1093,900,,40369,Cost,330000.00 
mochudi,0,2217/2707,1104,"no garag,cottage",40441,DRC,650000.00 
mochudi,0,2183,2233,no garage,41450,DRC,610000.00 
molepolole,mafenyatlala ward,2214/661,1842,,41113,cost,230000.00 
molepolole,lekgwapheng ward,2214/1930,974,,41160,DRC,150000.00 
Moshupa,0,2208/5540,935,,41078,DRC,280000.00 
Oodi,Modipane,2130/37,1373,,38664,DRC,280000.00 
Oodi,Matebeleng,2216/5,2372,,38666,DRC,230000.00 
Oodi,0,2233/135,1122,,38682,Cost,140000.00 
Oodi,Modipane,2130/49,1636,"no garage, no bathroom",40019,DRC,120000.00 
Oodi,Modipane,2130/,1600,,40812,DRC,290000.00 
Oodi,Modipane,2130/255,854,No garage,41082,DRC,520000.00 
Oodi,Modipane,2130/212,1201,"No garage, 1 bathroom",41513,DRC,300000.00 
Otse,0,2234/11,1962,,38840,DRC,320000.00 
palapye,0,2229/9757,1034,,38373,Cost,310000.00 
Ramotswa,Boatle ward,2228/995,730,,38661,DRC,85000.00 
Ramotswa,Lesetlhana ward,2155,842,,41296,DRC,420000.00 
Rasesa,west extension,2174/72,1002,,38635,DRC,500000.00 
Rasesa,0,2174/197,1347,"1 bathroom,no garage",40001,DRC,150000.00 
serowe,morula ward,2193/44,2374,"1 bathroom, no garage",38642,DRC,190000.00 
serowe,mere ward,2243/224,4298,,38891,Cost,775000.00 
shoshong,matlhabana,2192/45,1638,,38541,DRC,220000.00 
Thamaga,0,2198/899,1542,,38661,investment,700000.00 
Thamaga,0,2198/7198,5265,,38661,DRC,1500000.00 
western sandveld block,0,2213/LA4LO,389800,,38996,Cost,550000.00 
